Item;Cod;Nome;Un; Custo Unitário
001;;PLANILHA PADRÃO - ABRIL 2016 - CUSTO COM LEI HORISTA DE 141,80%;;
001.01;;SERVIÇOS PRELIMINARES:;;
001.01.01;10786;Aluguel de andaime metálico;M²/Mês;12,3
001.01.02;10006;Andaime de madeira;M2;12,57
001.01.03;10767;Barracão de madeira (incl. instalações);M2;339,3
001.01.04;10005;Barracão de madeira/Almoxarifado;M2;178,85
001.01.05;10173;Desmatamento mecanico c/trator D-6;M2;1,46
001.01.06;10032;Destocamento manual de arvores d=30cm;UN;100,1
001.01.07;11329;Furo de sondagem - até 15m;UN;1400
001.01.08;11330;Furo de sondagem - mais de 15m;UN;2500
001.01.09;10001;Levantamento planimetrico a trena;M2;0,48
001.01.10;10002;Levantamento planimetrico c/ aparelho;M2;0,95
001.01.11;10000;Licenças e taxas da obra (acima de 500m2);CJ;10200
001.01.12;11170;Licenças e taxas da obra (até 100m2);CJ;2255
001.01.13;11171;Licenças e taxas da obra (até 500m2);CJ;4920
001.01.14;10008;Limpeza do terreno;M2;1,2
001.01.15;10175;Locação da obra a aparelho;M2;5,85
001.01.16;10009;Locação da obra a trena;M2;3,17
001.01.17;10269;Locação planimetrica de linha;M;0,72
001.01.18;2;Mobilização e Desmobilização de pessoal e equipamentos;UN;0,00
001.01.19;10004;Placa da obra em chapa galvanizada;M2;295,74
001.01.20;11340;Placa de obra em lona com plotagem de gráfica;M2;144,44
001.01.21;10003;Tapume c/ chapa de madeirit e=10mm (h=2.20m);M2;66,61
001.01.22;11350;Tapume metálico;M2;77,1
001.02;;ADMINISTRAÇÃO DA OBRA;;
001.02.01;1;Administração Local;Mês;0,00
001.03;;DEMOLIÇÕES E RETIRADAS:;;
001.03.01;20738;Apicoamento de concreto;M2;15,02
001.03.02;20737;Apicoamento de reboco ou cimentado;M2;2
001.03.03;20177;Bota fora manual c/ DMT=200m;M3;41,04
001.03.04;20020;Demolição da estrutura em madeira da cobertura;M2;4,27
001.03.05;20007;Demolição de andaimes;M2;3
001.03.06;21525;Demolição de asfalto c/ martelete;M2;8,33
001.03.07;21524;Demolição de concreto armado c/ martelete;M3;387,34
001.03.08;20016;Demolição manual de alvenaria de tijolo;M3;34,19
001.03.09;20756;Demolição manual de concreto armado;M3;420,42
001.03.10;20018;Demolição manual de concreto simples;M3;148,15
001.03.11;20017;Demolição manual de piso em mad.e retir.vigamento (incluindo granzepe);M2;13,67
001.03.12;21531;Desmontagem de estrutura metálica com retirada de solda e corte de peças por meio de lixad;M2;24,07
001.03.13;20841;Retirada de blokret com aproveitamento;M2;7,16
001.03.14;20847;Retirada de caixa de ar condicionado;UN;14,27
001.03.15;20842;Retirada de calha em chapa galvanizada;M;5,77
001.03.16;20409;Retirada de carpete;M2;1,3
001.03.17;20305;Retirada de cobogo;M2;5,7
001.03.18;21532;Retirada de divisória (painel cego);M2;5,08
001.03.19;21533;Retirada de divisória (painel/vidro/painel);M2;6,77
001.03.20;20174;Retirada de entulho - manualmente (incluindo caixa coletora);M3;70,01
001.03.21;20171;Retirada de entulho c/ equipamento distancia ate 5k;M3;15,54
