001;;PLANILHA PADRÃO - ABRIL 2018;;
001.01;;SERVIÇOS PRELIMINARES:;;
001.01.01;010786;Aluguel e montagem de andaime metálico;M²/Mê;14,20
001.01.02;010006;Andaime de madeira;M2;13,73
001.01.03;010767;Barracão de madeira (incl. instalações);M2;385,88
001.01.04;010005;Barracão de madeira/Almoxarifado;M2;199,06
001.01.05;010173;Desmatamento mecanico c/trator D-6;M2;1,65
001.01.06;010032;Destocamento manual de arvores d=30cm;UN;113,50
001.01.07;011329;Furo de sondagem - até 15m;UN;1.400,00
001.01.08;011330;Furo de sondagem - mais de 15m;UN;2.500,00
001.01.09;010001;Levantamento planimetrico a trena;M2;0,54
001.01.10;010002;Levantamento planimetrico c/ aparelho;M2;1,08
001.01.11;010000;Licenças e taxas da obra (acima de 500m2);CJ;11.100,43
001.01.12;011170;Licenças e taxas da obra (até 100m2);CJ;2.520,78
001.01.13;011171;Licenças e taxas da obra (até 500m2);CJ;5.415,77
001.01.14;010008;Limpeza do terreno;M2;1,36
001.01.15;010175;Locação da obra a aparelho;M2;6,59
001.01.16;010009;Locação da obra a trena;M2;3,54
001.01.17;010269;Locação planimetrica de linha;M;0,78
001.01.18;000006;Mobilização e Desmobilização de pessoal e equipamentos;UN;-  
001.01.19;010004;Placa da obra em chapa galvanizada;M2;328,24
001.01.20;011340;Placa de obra em lona com plotagem de gráfica;M2;157,77
001.01.21;010003;Tapume c/ chapa de madeirit e=10mm (h=2.20m);M2;70,37
001.01.22;011350;Tapume metálico;M2;82,87
001.02;;ADMINISTRAÇÃO DA OBRA;;
001.02.01;1;Administração Local;Mês;0,00
001.03;;DEMOLIÇÕES E RETIRADAS:;;
001.03.01;020738;Apicoamento de concreto;M2;17,03
001.03.02;020737;Apicoamento de reboco ou cimentado;M2;2,27
001.03.03;020177;Bota fora manual c/ DMT=200m;M3;46,54
001.03.04;020020;Demolição da estrutura em madeira da cobertura;M2;4,84
001.03.05;020007;Demolição de andaimes;M2;3,41
001.03.06;021525;Demolição de asfalto c/ martelete;M2;8,47
001.03.07;021524;Demolição de concreto armado c/ martelete;M3;390,10
001.03.08;020016;Demolição manual de alvenaria de tijolo;M3;38,76
001.03.09;020756;Demolição manual de concreto armado;M3;352,60
001.03.10;020018;Demolição manual de concreto simples;M3;167,96
001.03.11;020017;Demolição manual de piso em madeira e retirada de vigamento incluindo granzepe;M2;15,50
001.03.12;021531;Desmontagem de estrutura metálica com retirada de solda e corte de peças por meio de lixadeira;M2;27,25
001.03.13;020677;Retirada da pintura (c/ escova de aço);M2;3,88
001.03.14;020841;Retirada de blokret com aproveitamento;M2;8,12
001.03.15;020847;Retirada de caixa de ar condicionado;UN;16,17
001.03.16;020842;Retirada de calha em chapa galvanizada;M;6,55
001.03.17;020409;Retirada de carpete;M2;1,48
001.03.18;020305;Retirada de cobogo;M2;6,47
001.03.19;021532;Retirada de divisória (painel cego);M2;5,77
001.03.20;021533;Retirada de divisória (painel/vidro/painel);M2;7,68
001.03.21;020174;Retirada de entulho - manualmente (incl. caixa coletora);M3;81,35
001.03.22;020171;Retirada de entulho c/ equipamento distancia ate 5k;M3;21,50
001.03.23;020013;Retirada de esquadria com aproveitamento;M2;7,68
001.03.24;021528;Retirada de esquadria metálica;M2;7,25
001.03.25;020014;Retirada de esquadria sem aproveitamento;M2;3,84
001.03.26;020861;Retirada de forro de gesso (incl. barroteamento);M2;3,97
001.03.27;020015;Retirada de forro em mad., incl. barroteamento;M2;5,41
001.03.28;021534;Retirada de forro em PVC, incl. barroteamento;M2;4,06
001.03.29;021527;Retirada de grade de ferro;M2;15,36
001.03.30;020853;Retirada de lambrequim;M;1,36
001.03.31;020854;Retirada de lambri de madeira;M2;12,99
001.03.32;021526;Retirada de louça sanitária;UN;27,05
001.03.33;020855;Retirada de luminárias;UN;10,82
001.03.34;020856;Retirada de mictório aço inox;UN;33,82
001.03.35;020862;Retirada de pilar de madeira;UN;30,39
001.03.36;020235;Retirada de piso ceramico, inclusive camada regularizadora;M2;5,17
001.03.37;020628;Retirada de piso cimentado;M2;5,64
001.03.38;020221;Retirada de piso em taco de madeira;M2;5,68
001.03.39;020023;Retirada de piso incl. camada impermeabilizadora;M2;8,82
001.03.40;020408;Retirada de piso vinilico;M2;3,21
001.03.41;021529;Retirada de ponto de água/esgoto;Pt;13,96
001.03.42;020857;Retirada de ponto elétrico;Pt;10,82
001.03.43;020019;Retirada de reboco ou emboço;M2;3,88
001.03.44;020021;Retirada de revestimento cerâmico;M2;3,88
001.03.45;021530;Retirada de rodapé cerâmico;M;2,27
001.03.46;021535;Retirada de Rodapé em Granito;M2;2,27
001.03.47;020863;Retirada de rodapé em madeira;M;1,14
001.03.48;021536;Retirada de rodapé em piso de alta resistência;M2;2,84
001.03.49;020864;Retirada de soleira e peitoril;M2;11,83
001.03.50;020858;Retirada de telha de fibrocimento com aproveitamento;M2;8,14
001.03.51;020307;Retirada de telhas de barro;M2;6,47
001.03.52;020024;Retirada de telhas fibrocimento sem aproveitamento;M2;2,69
001.03.53;020859;Retirada de válvula Hydra;UN;16,23
001.03.54;020860;Retirada de ventilador de teto;UN;18,94
001.03.55;020022;Retirada Divisórias em paineis div. em mad.compens.incl.entarugamento;M2;7,68
001.04;;MOVIMENTO DE TERRA:;;
001.04.01;030011;Aterro c/ material fora da obra, incl. apiloamento;M3;79,74
001.04.02;030010;Escavação manual ate 1.50m de profundidade;M3;34,05
001.04.03;030673;Escavação manual p/ tubulao a ceu aberto;M3;181,60
001.04.04;030675;Escavação mecanizada;M3;8,24
001.04.05;030254;Reaterro compactado;M3;37,24
001.05;;FUNDAÇÕES:;;
001.05.01;041500;Arrasamento de estaca;UN;34,05
001.05.02;040026;Baldrame em conc.ciclópico c/pedra preta incl.forma;M3;849,79
001.05.03;040285;Baldrame em conc.simples c/seixo incl.forma mad.br.;M3;952,29
001.05.04;040284;Baldrame em concreto armado c/ cinta de amarração;M3;1.716,93
001.05.05;040283;Bloco em concreto armado p/ fundaçao (incl. forma);M3;1.823,73
001.05.06;041332;Estaca de concreto 20x20cm (incl. cravaçao);M;124,80
001.05.07;041331;Estaca de concreto 25x25cm (incl. cravaçao);M;166,40
001.05.08;041333;Estaca de concreto 30x30cm (incl. cravaçao);M;234,00
001.05.09;041491;Estaca helice de diametro 30cm;M;156,70
001.05.10;041492;Estaca helice de diametro 40cm;M;199,08
001.05.11;041493;Estaca helice de diametro 50 cm;M;258,43
001.05.12;041494;Estaca helice de diametro 60 cm;M;354,84
001.05.13;041495;Estaca helice de diametro 80 cm;M;556,85
001.05.14;041472;Estaca raiz - 20cm;M;156,00
001.05.15;041473;Estaca raiz - 25cm;M;192,00
001.05.16;041490;Estaca raiz - 30cm;M;228,80
001.05.17;040025;Fundação corrida/bloco c/pedra preta arg.no traço 1:8;M3;383,11
001.05.18;040257;Lastro de concreto magro c/ seixo;M3;432,55
001.05.19;041496;Mobilização e desmobilização de equipamentos para estaca hélice contínua;UN;10.500,00
001.05.20;040222;Tubulão a céu aberto-concreto Fck=20MPA - cintado;M3;842,69
001.06;;ESTRUTURA:;;
001.06.01;;--> CONCRETO:;;
001.06.01.01;050040;Concreto armado Fck=13.5 MPA c/ forma aparente - 1 reaproveitamento;M3;1.958,07
001.06.01.02;050039;Concreto armado Fck=13.5 MPA c/forma em mad. branca;M3;1.940,67
001.06.01.03;050681;Concreto armado Fck=15 MPA c/forma mad. branca;M3;1.944,49
001.06.01.04;050267;Concreto armado Fck=18 MPA c/ forma mad. branca;M3;1.956,11
001.06.01.05;050282;Concreto armado Fck=18 MPA com forma aparente - 1 reaproveitamento;M3;1.973,51
001.06.01.06;050729;Concreto armado fck=20MPA c/ forma mad. branca;M3;1.966,13
001.06.01.07;051171;Concreto armado FCK=20MPA com forma aparente - 1 reaproveitamento;M3;1.983,53
001.06.01.08;050766;Concreto armado fck=25MPA c/ forma mad. branca;M3;1.982,13
001.06.01.09;051172;Concreto armado FCK=25MPA com forma aparente - 1 reaproveitamento;M3;1.999,53
001.06.01.10;051300;Concreto armado FCK=3,5MPA c/ forma aparente - 1 Reaproveitamento;M3;2.032,00
001.06.01.11;051287;Concreto armado FCK=30MPA c/ forma aparente - 1 reaproveitamento;M3;2.015,74
001.06.01.12;051286;Concreto armado FCK=30MPA c/ forma madeira branca;M3;1.998,34
001.06.01.13;050757;Concreto armado p/ calhas e percintas;M3;2.273,65
001.06.01.14;050353;Concreto armado p/ rufos;M3;1.533,25
001.06.01.15;050511;Concreto c/ seixo e aditivo imperm. Fck = 13,5 MPA(incl preparo e lançamento);M3;533,94
001.06.01.16;050034;Concreto c/ seixo Fck= 13.5 MPA (incl. preparo e lançamento);M3;482,59
001.06.01.17;050258;Concreto c/ seixo Fck= 15 MPA (incl. preparo e lançamento);M3;486,41
001.06.01.18;050260;Concreto c/ seixo Fck= 18.0 MPA (incl. preparo e lançamento);M3;498,03
001.06.01.19;050259;Concreto c/ seixo Fck= 20 MPA (incl. preparo e lançamento);M3;508,05
001.06.01.20;050740;Concreto c/ seixo Fck= 25MPA (incl. preparo e lançamento);M3;524,05
001.06.01.21;050736;Concreto c/ seixo FCK=30 MPA (incl. preparo e lançamento);M3;540,26
001.06.01.22;050196;Concreto ciclópico c/ pedra preta;M3;405,55
001.06.01.23;051450;Concreto usinado bombeado de 25MPA;M3;507,56
001.06.01.24;051451;Concreto usinado bombeado de 30MPA;M3;530,00
001.06.01.25;051452;Concreto usinado bombeado de 35MPA;M3;556,52
001.06.01.26;051453;Concreto usinado bombeado de 40MPA;M3;601,40
001.06.01.27;050713;Laje pré-moldada (incl. capeamento);M2;85,43
001.06.01.28;050771;Laje pré-moldada treliçada (Incl. capiamento);M2;125,93
001.06.01.29;051455;Protensão de cordoalha de 12,7mm;KG;33,58
001.06.01.30;051460;Protensão de cordoalha de 15,2mm;KG;35,78
001.06.02;;--> FORMA / ARMAÇÃO / CIMBRAMENTO:;;
