ITEM;CÓD;TIPO;DESCRIÇÃO;UN;PREÇO
001;;;PLANILHA PADRÃO SINAPI - FEVEREIRO 2016;;
001.01;;;ASSENTAMENTO DE TUBOS E PECAS;;
001.01.01;73887/1;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA -  DN 75 MM - INCLUSIVE TRANSPORTE;M;2,55
001.01.02;73887/2;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 100 - INCLUSIVE TRANSPORTE;M;3,07
001.01.03;73887/3;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 150 - INCLUSIVE TRANSPORTE;M;5,45
001.01.04;73887/4;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 200 - INCLUSIVE TRANSPORTE;M;6,97
001.01.05;73887/5;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 250 MM - INCLUSIVE TRANSPORTE;M;8,43
001.01.06;73887/6;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 300 - INCLUSIVE TRANSPORTE;M;9,55
001.01.07;73887/7;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 350 MM - INCLUSIVE TRANSPORTE;M;11,2
001.01.08;73887/8;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 400 MM - INCLUSIVE TRANSPORTE;M;12,84
001.01.09;73887/9;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 450 MM - INCLUSIVE TRANSPORTE;M;14,45
