ITEM;CÓDIGOS;CLASSE/TIPO;DESCRIÇÃO;UN; VALOR 
001;;;PLANILHA PADRÃO SINAPI - MARÇO 2016;;
001.01;;ASTU;ASSENTAMENTO DE TUBOS E PECAS;;
001.01.01;73887/1;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA -  DN 75 MM - INCLUSIVE TRANSPORTE;M; 2,59 
001.01.02;73887/2;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 100 - INCLUSIVE TRANSPORTE;M; 3,12 
001.01.03;73887/3;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 150 - INCLUSIVE TRANSPORTE;M; 5,53 
001.01.04;73887/4;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 200 - INCLUSIVE TRANSPORTE;M; 7,08 
001.01.05;73887/5;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 250 MM - INCLUSIVE TRANSPORTE;M; 8,56 
001.01.06;73887/6;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 300 - INCLUSIVE TRANSPORTE;M; 9,69 
001.01.07;73887/7;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 350 MM - INCLUSIVE TRANSPORTE;M; 11,36 
001.01.08;73887/8;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 400 MM - INCLUSIVE TRANSPORTE;M; 13,02 
001.01.09;73887/9;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 450 MM - INCLUSIVE TRANSPORTE;M; 14,65 
001.01.10;73887/10;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 500 MM - INCLUSIVE TRANSPORTE;M; 16,30 
001.01.11;73887/11;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 600 MM - INCLUSIVE TRANSPORTE;M; 19,71 
001.01.12;73887/12;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 700 MM - INCLUSIVE TRANSPORTE;M; 24,71 
001.01.13;73887/13;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 800 MM - INCLUSIVE TRANSPORTES;M; 28,50 
001.01.14;73887/14;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 900 MM - INCLUSIVE TRANSPORTE;M; 33,45 
001.01.15;73887/15;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 1000 MM - INCLUSIVE TRANSPORTE;M; 35,94 
001.01.16;73887/16;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 1100 MM - INCLUSIVE TRANSPORTE;M; 42,55 
001.01.17;73887/17;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 1200 MM - INCLUSIVE TRANSPORTE;M; 50,30 
001.01.18;74213/1;ASTU;MODULO TIPO: REDE DE AGUA, COM FORNECIMENTO E ASSENTAMENTO DE TUBO FºFº DN 200 MM-K7, COMPREENDENDO: LOCACAO, CADASTRAMENTO DE INTERFERENCIAS, ESCAVACAO E REATERRO COMPACTADO DE VALA, EXCETO ROCHA, ATE 1,50 M. INCLUSIVE. ATENÇÃO: VIDE DESCRIÇÃOCOMPLEMENTAR .;M; 19,26 
001.01.19;83655;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO), COM JUNTA ELASTICA, DN 50 MM.;M; 2,83 
001.01.20;73888/1;ASTU;ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 50 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV) - PARA AGUA.;M; 1,26 
001.01.21;73888/2;ASTU;ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 75 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV) - PARA AGUA.;M; 1,68 
001.01.22;73888/3;ASTU;ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 100 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV) - PARA AGUA.;M; 2,10 
001.01.23;73888/4;ASTU;ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 150 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV P/ AGUA);M; 2,52 
001.01.24;73888/5;ASTU;ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 200 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV P/ AGUA);M; 2,94 
