ITEM;CÓDIGOS;CLASSE/TIPO;DESCRIÇÃO;UN; VALOR 
001;;;PLANILHA PADRÃO SINAPI - ABRIL 2016;;
001.01;;ASTU;ASSENTAMENTO DE TUBOS E PECAS;;
001.01.01;73887/001;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA -  DN 75 MM - INCLUSIVE TRANSPORTE;M; 2,61 
001.01.02;73887/002;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 100 - INCLUSIVE TRANSPORTE;M; 3,14 
001.01.03;73887/003;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 150 - INCLUSIVE TRANSPORTE;M; 5,41 
001.01.04;73887/004;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 200 - INCLUSIVE TRANSPORTE;M; 6,92 
001.01.05;73887/005;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 250 MM - INCLUSIVE TRANSPORTE;M; 8,37 
001.01.06;73887/006;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 300 - INCLUSIVE TRANSPORTE;M; 9,48 
001.01.07;73887/007;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 350 MM - INCLUSIVE TRANSPORTE;M; 11,08 
001.01.08;73887/008;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 400 MM - INCLUSIVE TRANSPORTE;M; 12,22 
001.01.09;73887/009;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 450 MM - INCLUSIVE TRANSPORTE;M; 14,28 
001.01.10;73887/010;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 500 MM - INCLUSIVE TRANSPORTE;M; 15,84 
001.01.11;73887/011;ASTU;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 600 MM - INCLUSIVE TRANSPORTE;M; 19,14 
