ITEM;CÓDIGOS;CLASSE;DESCRIÇÃO;UNIDADE;VALOR
001;;;PLANILHA PADRÃO SINAPI - MAIO 2016;;
001.01;;;ASSENTAMENTO DE TUBOS E PECAS;;
001.01.01;73887/1;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA -  DN 75 MM - INCLUSIVE TRANSPORTE;M;2,65
001.01.02;73887/2;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 100 - INCLUSIVE TRANSPORTE;M;3,19
001.01.03;73887/3;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 150 - INCLUSIVE TRANSPORTE;M;5,47
001.01.04;73887/4;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 200 - INCLUSIVE TRANSPORTE;M;7,01
001.01.05;73887/5;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 250 MM - INCLUSIVE TRANSPORTE;M;8,47
001.01.06;73887/6;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 300 - INCLUSIVE TRANSPORTE;M;9,59
001.01.07;73887/7;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 350 MM - INCLUSIVE TRANSPORTE;M;11,2
001.01.08;73887/8;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 400 MM - INCLUSIVE TRANSPORTE;M;12,36
001.01.09;73887/9;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 450 MM - INCLUSIVE TRANSPORTE;M;14,43
001.01.10;73887/10;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 500 MM - INCLUSIVE TRANSPORTE;M;16
001.01.11;73887/11;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 600 MM - INCLUSIVE TRANSPORTE;M;19,32
001.01.12;73887/12;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 700 MM - INCLUSIVE TRANSPORTE;M;24,39
001.01.13;73887/13;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 800 MM - INCLUSIVE TRANSPORTES;M;28,1
001.01.14;73887/14;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 900 MM - INCLUSIVE TRANSPORTE;M;32,82
001.01.15;73887/15;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 1000 MM - INCLUSIVE TRANSPORTE;M;35,29
001.01.16;73887/16;;ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTICA - DN 1100 MM - INCLUSIVE TRANSPORTE;M;41,82
